place,number,age,sex,time
1,5,H,M,02:06:16
3,2,H,M,02:07:02
5,16,H,M,02:07:47
7,36,H,M,02:09:35
9,9,30,M,02:09:43
11,8,30,M,02:10:26
13,12847,U23,M,02:11:25
15,24,30,M,02:13:33
17,11902,30,M,02:17:42
19,14,U23,M,02:17:50
21,9375,H,M,02:19:56
23,5335,35,M,02:20:35
25,7181,30,M,02:20:37
27,32,H,M,02:21:07
29,3994,H,M,02:21:51
31,5566,35,M,02:22:02
33,37,30,M,02:22:35
35,8662,H,M,02:22:51
37,6489,30,M,02:23:04
39,10871,35,M,02:23:24
41,5323,H,M,02:23:51
43,12223,H,M,02:23:56
45,1948,35,M,02:24:09
47,11826,H,M,02:24:25
49,86,35,M,02:24:53
51,9168,H,M,02:25:24
53,11225,30,M,02:26:06
55,8732,30,M,02:26:54
57,9869,30,M,02:27:11
59,8743,30,M,02:27:14
61,12442,35,M,02:27:20
63,4205,H,M,02:27:26
65,3590,30,M,02:27:28
67,4056,30,M,02:27:52
69,3684,35,M,02:28:03
71,6534,40,M,02:28:07
73,3712,30,M,02:28:09
75,7171,H,M,02:28:18
77,5442,30,M,02:28:22
79,8143,30,M,02:28:48
81,12408,45,M,02:28:52
83,7681,30,M,02:28:57
85,6562,35,M,02:29:07
87,12029,30,M,02:29:09
89,10304,35,M,02:29:29
91,11213,30,M,02:29:39
93,9770,H,M,02:29:41
95,6405,H,M,02:29:55
97,10690,30,M,02:29:59
99,8355,40,M,02:30:13
101,7850,35,M,02:30:20
103,6482,40,M,02:30:26
105,5463,30,M,02:30:29
107,4727,40,M,02:30:43
109,8442,35,M,02:31:05
111,4267,H,M,02:31:16
113,9905,30,M,02:31:31
115,9363,35,M,02:31:35
117,7148,35,M,02:31:43
119,10091,40,M,02:31:46
121,10405,30,M,02:31:59
123,3163,30,M,02:32:10
125,2924,35,M,02:32:12
127,10072,35,M,02:32:13
129,11647,40,M,02:32:32
131,2198,35,M,02:32:38
133,4625,H,M,02:32:41
135,5061,35,M,02:32:49
